Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775523415,500,,Aggregated,362.000000,0.000000,28,51,78,100,190,280,2000,2200,3100,3400,3400,21466,3087,28,120.2098382045446,2.0661000162363052,3434.9775000009686,1452.4307276623497
1775523416,500,,Aggregated,343.600000,0.000000,28,51,81,100,200,320,2000,2200,3100,3400,3400,21595,3087,28,129.44822327385495,2.0661000162363052,3434.9775000009686,1452.9695762908082
1775523417,500,,Aggregated,315.300000,0.000000,29,54,89,110,210,1000,2000,2200,3100,3400,3400,22062,3087,29,152.75995102886895,2.0661000162363052,3434.9775000009686,1462.14400326353
1775523418,500,,Aggregated,292.200000,0.000000,29,54,88,110,210,990,2000,2200,3100,3400,3400,22406,3087,29,151.12749740242862,2.0661000162363052,3434.9775000009686,1463.9276086762475
1775523419,500,,Aggregated,303.100000,0.000000,30,56,93,120,210,940,2000,2200,3100,3400,3400,22788,3087,30,151.05899788042242,2.0661000162363052,3434.9775000009686,1467.7952869931544
1775523420,500,,Aggregated,305.500000,0.000000,31,59,95,120,210,770,2000,2200,3100,3400,3400,23157,3087,31,150.18040383467158,2.0661000162363052,3434.9775000009686,1473.491168976983
1775523421,500,,Aggregated,298.200000,0.000000,32,61,94,120,210,700,2000,2200,3100,3400,3400,23486,3087,32,149.15432570892202,2.0661000162363052,3434.9775000009686,1475.2943455675722
1775523422,500,,Aggregated,295.800000,0.000000,33,63,100,120,220,650,2000,2200,3100,3400,3400,23849,3087,33,153.31175092455751,2.0661000162363052,3434.9775000009686,1479.517464044614
1775523423,500,,Aggregated,294.600000,0.000000,34,66,100,130,230,620,2000,2200,3100,3400,3400,24227,3087,34,154.17595528543535,2.0661000162363052,3434.9775000009686,1483.6118793082098
1775523424,500,,Aggregated,281.300000,0.000000,34,66,100,130,230,600,2000,2200,3100,3400,3400,24600,3087,34,152.66397204473463,2.0661000162363052,3434.9775000009686,1487.6767073170731
1775523425,500,,Aggregated,281.700000,0.000000,35,68,100,130,230,580,2000,2200,3100,3400,3400,24979,3087,35,152.0433576724592,2.0661000162363052,3434.9775000009686,1489.6256055086274
1775523426,500,,Aggregated,295.800000,0.000000,35,68,100,130,230,560,2000,2200,3000,3400,3400,25369,3087,35,150.42148850564578,2.0661000162363052,3434.9775000009686,1493.452875556782
